Date,Establishment,Total,Tip,GrubHub,Time Pay,Mileage Pay,Miles,Bonus,Accepted at,Canceled,AWS Difficulty?
7/14/2021,Nudy's,6.98,3.10,3.88,2.73,1.15,5.00,0.00,12:43:00 PM,,
7/14/2021,Wawa,9.06,4.45,4.61,3.12,1.49,6.48,0.00,12:05:00 PM,,
7/14/2021,Peter Clark,7.84,4.81,3.03,2.51,0.52,2.26,0.00,12:05:00 PM,,
7/14/2021,Jersey Mike's,6.66,2.75,3.91,2.75,0.83,3.61,0.00,11:20:00 PM,,
7/14/2021,Los Sabores,8.86,6.67,2.19,2.00,0.19,0.83,0.00,11:20:00 PM,,
7/14/2021,Wasabi2,8.42,4.59,3.83,2.66,1.17,5.09,0.00,11:01:00 AM,,
7/13/2021,Wayback,12.63,8.54,4.09,2.81,1.28,5.57,0.00,7:56:00 PM,,
7/13/2021,Qdoba,10.68,5.73,4.95,3.48,1.47,5.73,0.00,7:33:00 PM,,
7/13/2021,China Palace,8.45,3.49,4.96,3.27,1.69,7.35,0.00,7:14:00 PM,,
7/13/2021,Wawa,8.86,3.74,5.12,3.53,1.59,6.91,0.00,6:19:00 PM,,
7/13/2021,Bon Bon,7.25,5.25,2.00,0.26,0.09,0.39,0.00,6:19:00 PM,,
7/13/2021,Bon Bon,6.80,3.80,3.00,2.64,0.36,1.57,0.00,6:19:00 PM,,
7/13/2021,Sterling Pig,15.96,12.39,3.57,2.86,0.71,3.09,0.00,5:39:00 PM,,
7/13/2021,El Limon,8.86,4.13,4.73,2.90,1.08,4.70,0.00,5:18:00 PM,,
7/13/2021,Tsaocaa,9.77,4.13,5.64,4.29,1.35,5.87,0.00,4:51:00 PM,,
7/13/2021,Chipotle,13.40,8.78,4.62,3.48,1.14,4.96,0.00,4:29:00 PM,,
7/11/2021,Wawa,8.59,3.00,5.59,3.35,2.24,9.74,0.00,6:17:00 PM,,
7/11/2021,Enzo's,12.78,4.93,7.85,2.07,0.78,3.39,5.00,6:17:00 PM,,Yes
7/11/2021,Dairy Queen,6.12,3.12,3.00,2.51,0.49,2.13,0.00,5:40:00 PM,,
7/11/2021,Pica's,9.18,6.18,3.00,2.29,0.71,3.09,0.00,5:28:00 PM,,
7/11/2021,Fusion,14.39,8.61,5.78,4.18,1.60,6.96,0.00,5:08:00 PM,,
7/11/2021,Bonchon,13.14,7.27,5.87,4.18,1.63,7.09,0.00,4:23:00 PM,,
7/11/2021,Qdoba,7.09,2.00,5.09,3.31,1.78,7.74,0.00,4:03:00 PM,,
7/11/2021,China Palace,15.97,9.45,6.52,4.09,2.43,10.57,0.00,3:33:00 PM,,
7/11/2021,Nudy's,11.09,7.00,4.09,3.35,0.74,3.22,0.00,12:33:00 PM,,Yes
7/11/2021,Saladworks,12.17,2.50,9.67,4.36,2.80,12.17,2.51,11:59:00 AM,,
7/11/2021,Country Bagel,6.78,3.12,3.66,2.73,0.93,4.04,0.00,11:36:00 AM,,
7/9/2021,Wawa,8.43,3.98,4.45,3.04,1.41,6.13,0.00,12:59:00 PM,,
7/9/2021,Chipotle,9.00,4.04,4.96,2.91,1.79,7.78,0.26,12:15:00 PM,,
7/9/2021,Panera,8.48,4.21,4.27,2.77,1.50,6.52,0.00,11:59:00 AM,,
7/9/2021,Nudy's,9.00,4.10,4.90,2.92,1.76,7.65,0.22,11:32:00 AM,,
7/9/2021,Country Bagel,7.31,3.71,3.60,2.49,1.11,4.83,0.00,11:12:00 AM,,
7/8/2021,Enzo's,9.12,7.00,2.12,1.24,0.88,3.83,0.00,6:52:00 PM,,
7/8/2021,Enzo's,12.27,7.72,4.55,3.30,1.25,5.43,0.00,6:52:00 PM,,
7/8/2021,Wawa,7.84,3.58,4.26,2.84,1.42,6.17,0.00,6:28:00 PM,,
7/8/2021,Baan Thai,12.17,8.38,3.79,3.09,0.70,3.04,0.00,5:58:00 PM,,
7/8/2021,Los Sabores,8.17,3.12,5.05,3.20,1.85,8.04,0.00,5:35:00 PM,,
7/8/2021,Anthony's,13.56,7.97,5.59,4.34,1.25,5.43,0.00,5:09:00 PM,,
7/8/2021,Miss Winnie's,9.09,2.00,7.09,3.97,2.06,8.96,1.06,4:37:00 PM,,
7/8/2021,Peter Clark,10.48,6.94,3.54,2.54,1.00,4.35,0.00,1:28:00 PM,,
7/8/2021,Miss Winnie's,7.02,3.86,3.16,2.70,0.46,2.00,0.00,1:19:00 PM,,
7/8/2021,Wawa,5.55,2.55,3.00,2.70,0.30,1.30,0.00,1:09:00 PM,,
7/8/2021,Jaco,6.63,3.36,3.27,2.88,0.39,1.70,0.00,12:13:00 PM,,
7/8/2021,Jaco,6.59,3.93,2.66,1.66,1.00,4.35,0.00,12:13:00 PM,,
7/8/2021,Bon Bon,8.00,5.00,3.00,2.68,0.32,1.39,0.00,11:35:00 AM,,
7/8/2021,Miss Winnie's,7.79,4.79,3.00,2.69,0.31,1.35,0.00,11:22:00 AM,,
7/8/2021,Dunkin,1.26,0.00,1.26,1.15,0.11,0.48,0.00,11:06:00 AM,,
7/8/2021,Roots,10.46,6.76,3.70,3.27,0.43,1.87,0.00,10:38:00 AM,,
7/7/2021,El Limon,10.17,3.73,6.44,4.11,2.33,10.13,0.00,12:47:00 PM,,
7/7/2021,Boston Market,13.19,7.12,6.07,4.12,1.95,8.48,0.00,12:27:00 PM,,
